nom,date,heure,prix,etablissement,adresse,arrondissement
0,Dimanche 3 décembre,19h,10,L'international,5 rue Moret,11
1,Lundi 4 décembre,20h,7,L'international,5 rue Moret,11
2,Mardi 5 décembre,20h,8,L'international,5 rue Moret,11
3,Mercredi 6 décembre,20h,8,L'international,5 rue Moret,11
4,Jeudi 7 décembre,20h,11/13,L'international,5 rue Moret,11
5,Jeudi 7 décembre,00h,5,L'international,5 rue Moret,11
6,Vendredi 8 décembre,20h,8/10,L'international,5 rue Moret,11
7,Vendredi 8 décembre,00h,7,L'international,5 rue Moret,11
8,Samedi 9 décembre,20h,11,L'international,5 rue Moret,11
9,Samedi 9 décembre,00h,7,L'international,5 rue Moret,11
10,Dimanche 10 décembre,18h,Gratui,L'international,5 rue Moret,11
11,Lundi 11 décembre,20h,10,L'international,5 rue Moret,11
12,Mardi 12 décembre,20h,8,L'international,5 rue Moret,11
13,Mercredi 13 décembre,20h,7,L'international,5 rue Moret,11
14,Jeudi 14 décembre,20h,8,L'international,5 rue Moret,11
15,Jeudi 14 décembre,00h,5,L'international,5 rue Moret,11
16,Vendredi 15 décembre,20h,8,L'international,5 rue Moret,11
17,Vendredi 15 décembre,00h,7,L'international,5 rue Moret,11
18,Samedi 16 décembre,14h,Entrée libr,L'international,5 rue Moret,11
19,Samedi 16 décembre,00h,7,L'international,5 rue Moret,11
20,Dimanche 17 décembre,20h,5,L'international,5 rue Moret,11
21,Mardi 19 décembre,20h,Comple,L'international,5 rue Moret,11
22,Mercredi 20 décembre,20h,6,L'international,5 rue Moret,11
23,Jeudi 21 décembre,20h,7,L'international,5 rue Moret,11
24,Jeudi 21 décembre,00h,5,L'international,5 rue Moret,11
25,Vendredi 22 décembre,20h,8,L'international,5 rue Moret,11
26,Samedi 23 décembre,20h,10,L'international,5 rue Moret,11
27,Vendredi 29 décembre,00h,7,L'international,5 rue Moret,11
28,Samedi 30 décembre,00h,7,L'international,5 rue Moret,11
29,Dimanche 31 décembre,22h,7,L'international,5 rue Moret,11
Charlye Dream,1 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Charlye Dream,2 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,3 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,4 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Five O'Clock Jazz Group,5 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,6 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,7 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,8 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,9 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers invite Sax Gordon,10 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers invite Sax Gordon,11 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blue Waltz,12 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers invite Sax Gordon,13 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jack’&’Jills Swing Band,14 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jack’&’Jills Swing Band,15 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jack’&’Jills Swing Band,16 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,17 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Louis Prima for Ever Special Noël,18 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Louis Prima for Ever Special Noël,19 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
"Dany Doriz & Michel Pastre ""Fathers & Sons""",20 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Michel Pastre Swing Band invite Saul Rubin,21 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Michel Pastre Swing Band invite Saul Rubin,22 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Michel Pastre Swing Band invite Saul Rubin,23 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Fermeture exceptionnelle,24 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,25 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,26 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,27 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,28 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,29 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,30 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Réveillon Rock & Swing,31 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,1 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,2 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Dany Doriz Swing Band invite Jeff Hoffman,3 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jérome Etcheberry invite Tijn Trommelen,4 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jérome Etcheberry invite Tijn Trommelen,5 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jérome Etcheberry invite Tijn Trommelen,6 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,7 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,8 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,9 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Philippe Milanta Swinging Quartet avec Claude Tissendier,10 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Zebulon Boogie Project featuring Eric Luter & Jean Michel Proust,11 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Zebulon Boogie Project featuring Eric Luter & Jean Michel Proust,12 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Zebulon Boogie Project featuring Eric Luter & Jean Michel Proust,13 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,14 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,15 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,16 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,17 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,18 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,19 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,20 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,21 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,22 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,23 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,24 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,25 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,26 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,27 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Leslie Lewis Swing Band,28 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,29 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,30 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Dany Doriz & Michel Pastre Fathers & Sons,31 janvier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Danger Zone,1 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Danger Zone,2 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Panama Swing,3 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Puissance Jazz Big Band,4 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,5 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
3 for Swing + one,6 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
3 for Swing + one,7 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Matthieu Boré Blues in New Orleans,8 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Matthieu Boré Blues in New Orleans,9 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Matthieu Boré Blues in New Orleans,10 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,11 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,12 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,13 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Egidio Juke Inkala & the Jacknives,14 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Egidio Juke Inkala & the Jacknives,15 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Egidio Juke Inkala & the Jacknives,16 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Egidio Juke Inkala & the Jacknives,17 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,18 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,19 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
The Silky’s,20 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
The Silky’s,21 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
The Silky’s,22 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Paddy Scherlock & the Swingin Lovers,23 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Paddy Scherlock & the Swingin Lovers,24 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Wendy Lee Taylor Sing Swing,25 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,26 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,27 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Dany Doriz & Michel Pastre Fathers & Sons,28 fevrier,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Soirée Edith Piaf,5décembre2023,20:30,0,Le vieux belleville,12 rue des Envierges,20
Riton La Manivelle,7décembre2023,20:30,0,Le vieux belleville,12 rue des Envierges,20
Chansons et accordéon avec Minelle,8décembre2023,20:30,0,Le vieux belleville,12 rue des Envierges,20
Chansons et accordéon avec Minelle,9décembre2023,20:30,0,Le vieux belleville,12 rue des Envierges,20
Soirée Edith Piaf,12décembre2023,20:30,0,Le vieux belleville,12 rue des Envierges,20
Riton La Manivelle,14décembre2023,20:30,0,Le vieux belleville,12 rue des Envierges,20
Chansons et accordéon avec Minelle,15décembre2023,20:30,0,Le vieux belleville,12 rue des Envierges,20
