nom,heure,date,etablissement,prix,ndeg_auto,dep,region_administrative,adresse,code_insee,commune,situation_geographique,ecrans,fauteuils,tranche_d_entrees,proprietaire,programmateur,categorie_art_et_essai,label_art_et_essai,genre,multiplexe,population_de_la_commune_2015,unite_urbaine_2010,population_unite_urbaine_2015,semaines_d_activite_2020,seances_2020,entrees_2020,entrees_2019,evolution_entrees_2020_2019,art_et_essai,nombre_de_films_programmes_2020,nombre_de_films_inedits_2020,nombre_de_films_en_semaine_1_2020,pdm_en_entrees_des_films_francais_2020,pdm_en_entrees_des_films_americains_2020,pdm_en_entrees_des_films_europeens_2020,pdm_en_entrees_des_autres_films_2020,films_art_et_essai_2020,part_des_seances_de_films_art_et_essai_2020,pdm_en_entrees_des_films_art_et_essai_2020,geo
The Appointment,15:20,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
Her,18:30,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
Zodiac,21:00,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
Eyes wide shut,21:00,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
The game,18:40,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
A Bout de course,16:15,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
Fog,17:00,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
Une femme dans la tourmente,13:30,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
Diamants sur canape,14:00,ajd,CHRISTINE CINEMA CLUB,variable,883.0,75.0,ILE-DE-FRANCE,4 RUE CHRISTINE,75106.0,Paris 6e Arrondissement,01-Paris,2.0,234.0,De 30 à 40 000 entrées,TRIOMPH CINEMA,,A,PR,FIXE,NON,42428.0,Paris,10706072.0,30.0,1719.0,30183.0,56566.0,-46.6410918219425,OUI,242.0,5.0,2.0,8.246694256586252,74.78214057400491,15.245112883146597,1.7260522862622387,223.0,92.37929028504944,90.52858248376567,"48.854455,2.340132"
The Host,20:00,ajd,ECOLES CINEMA CLUB,variable,8374.0,75.0,ILE-DE-FRANCE,23 RUE DES ECOLES,75105.0,Paris 5e Arrondissement,01-Paris,2.0,200.0,De 20 à 30 000 entrées,CINELUX,,A,PR,FIXE,NON,59333.0,Paris,10706072.0,31.0,1853.0,28076.0,33370.0,-15.864548996104288,OUI,294.0,4.0,1.0,35.72346348775787,51.7274609179813,11.046470126347348,1.5026054679134844,224.0,77.54991905018889,74.2272824612749,"48.848384,2.348973"
