,nom,heure,date,etablissement,prix,adresse,commune,geo,Type activite,arrondissement
0,Chantons sous la pluie,13:30,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
1,Thelma et louise,18:40,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
2,Edward aux mains d'argent,15:05,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
3,The Appointment,17:00,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
4,Eyes wide shut,21:00,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
5,Sailor et lula,21:45,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
6,Phantom of the paradise,20:00,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
7,West Side Story,17:15,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
8,Un jour à New york,15:25,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
9,Haute pègre,13:30,ajd,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132",Cinema,
10,Princesse Mononoké,21:10,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
11,Blissfully yours,13:30,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
12,Man on the moon,18:45,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
13,Les derniers jours du disco,17:40,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
14,The King of new york,21:50,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
15,Risky business,19:50,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
16,Raging bull,16:00,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
17,Annie Hall,15:50,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
18,Les Producteurs,14:00,ajd,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973",Cinema,
19,Wish - Asha et la bonne étoile,09:00,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
20,Wish - Asha et la bonne étoile,11:10,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
21,Wish - Asha et la bonne étoile,13:20,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
22,Wish - Asha et la bonne étoile,15:35,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
23,Wish - Asha et la bonne étoile,17:50,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
24,Wish - Asha et la bonne étoile,20:05,ajd,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829",Cinema,
