nom,heure,date,etablissement,prix,adresse,commune,geo
L'Adorable Voisine,13:00,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Cette sacrée vérité,15:00,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Les Affranchis,19:00,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
A Bout de course,15:00,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Blue velvet,18:45,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Breakfast Club,16:50,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Casablanca,17:05,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Ninotchka,13:00,24/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Un jour sans fin,13:00,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Eternal Sunshine of the Spotless Mind,17:10,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
No country for old men,18:50,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
My blueberry nights,13:00,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Coup de foudre à Notting Hill,14:55,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
The big Lebowski,19:10,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
True romance,16:40,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Sang pour sang,14:50,24/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Wish - Asha et la bonne étoile,09:00,24/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
