nom,date,heure,prix,etablissement,adresse,arrondissement
0,Vendredi 22 décembre,20h,8,L'international,5 rue Moret,11
1,Samedi 23 décembre,20h,10,L'international,5 rue Moret,11
2,Vendredi 29 décembre,00h,7,L'international,5 rue Moret,11
3,Samedi 30 décembre,00h,7,L'international,5 rue Moret,11
4,Dimanche 31 décembre,22h,7,L'international,5 rue Moret,11
5,Jeudi 4 janvier,20h,8,L'international,5 rue Moret,11
6,Vendredi 5 janvier,20h,7,L'international,5 rue Moret,11
7,Samedi 6 janvier,20h,8,L'international,5 rue Moret,11
8,Lundi 8 janvier,20h,6,L'international,5 rue Moret,11
9,Mercredi 10 janvier,20h,8,L'international,5 rue Moret,11
10,Jeudi 11 janvier,20h,8,L'international,5 rue Moret,11
11,Samedi 13 janvier,20h,8,L'international,5 rue Moret,11
12,Mercredi 17 janvier,20h,8,L'international,5 rue Moret,11
13,Jeudi 18 janvier,20h,8,L'international,5 rue Moret,11
14,Vendredi 19 janvier,19h,8/10,L'international,5 rue Moret,11
15,Samedi 20 janvier,20h,8,L'international,5 rue Moret,11
16,Dimanche 21 janvier,18h,Gratui,L'international,5 rue Moret,11
17,Vendredi 26 janvier,20h,18,L'international,5 rue Moret,11
18,Dimanche 28 janvier,20h,6,L'international,5 rue Moret,11
19,Jeudi 8 février,20h,8,L'international,5 rue Moret,11
20,Mardi 13 février,20h,13,L'international,5 rue Moret,11
21,Jeudi 15 février,20h,8/10,L'international,5 rue Moret,11
22,Mardi 20 février,20h,12,L'international,5 rue Moret,11
23,Jeudi 29 février,20h,8/10,L'international,5 rue Moret,11
24,Mardi 12 mars,20h,12,L'international,5 rue Moret,11
25,Samedi 23 mars,20h,13,L'international,5 rue Moret,11
26,Lundi 1er avril,20h,6,L'international,5 rue Moret,11
27,Mercredi 3 avril,20h,8/10,L'international,5 rue Moret,11
28,Samedi 11 mai,20h,10,L'international,5 rue Moret,11
Charlye Dream,1 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Charlye Dream,2 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,3 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,4 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
Five O'Clock Jazz Group,5 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,6 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,7 decembre,21h30,14,Caveau de la Huchette,5 rue de la Huchette,5
