nom,heure,date,etablissement,prix,adresse,commune,geo
Chantons sous la pluie,18:05,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
The Appointment,15:05,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Thelma et louise,16:45,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Edward aux mains d'argent,19:05,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Sailor et lula,21:45,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Shining,21:00,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Phantom of the paradise,20:00,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
West Side Story,13:30,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Un jour à New york,16:15,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Haute pègre,13:30,28/12,CHRISTINE CINEMA CLUB,variable,4 RUE CHRISTINE,Paris 6e Arrondissement,"48.854455,2.340132"
Princesse Mononoké,19:15,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Blissfully yours,13:30,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Man on the moon,15:10,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Les derniers jours du disco,17:50,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
The big Lebowski,21:40,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
The King of new york,21:45,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Risky business,15:50,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Annie Hall,20:00,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Les Producteurs,13:30,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
Les Vitelloni,17:20,28/12,ECOLES CINEMA CLUB,variable,23 RUE DES ECOLES,Paris 5e Arrondissement,"48.848384,2.348973"
