,nom,etablissement,Date,adresse,commune,prix
0,Tout va bien se passer,Comédie Saint-Martin,Du 9 octobre 2023 au 31 mars 2024,33 boulevard Saint-Martin,Paris 3e,11-76 €
1,L'Embarras du choix,Théâtre de la Gaîté-Montparnasse,Du 7 janvier 2022 au 30 juin 2024,26 rue de la Gaîté,Paris 14e,22-71 €
2,Chers parents,Théâtre de Paris,Du 11 octobre 2023 au 25 février 2024,15 rue Blanche,Paris 9e,33-48 €
3,Dernier coup de ciseaux,Théâtre des Mathurins,Du 9 juin 2021 au 18 mai 2024,36 rue des Mathurins,Paris 8e,16-97 €
4,Edmond,Théâtre du Palais-Royal,Du 17 août 2023 au 15 juin 2024,38 rue de Montpensier,Paris 1er,20-104 €
5,Une idée géniale,Théâtre Michel,Du 19 août 2022 au 31 décembre 2023,38 rue des Mathurins,Paris 8e,unknown
6,"C'est décidé, je deviens une connasse !",Comédie Oberkampf,Du 15 septembre 2023 au 5 mai 2024,115 rue du Chemin Vert,Paris 11e,11-49 €
7,Oublie-moi,Théâtre Actuel La Bruyère,Du 29 août 2023 au 30 mars 2024,5 rue La Bruyère,Paris 9e,26-54 €
8,La Maison du loup,Théâtre Rive Gauche,Du 14 septembre 2023 au 31 mars 2024,6 rue de la Gaîté,Paris 14e,20-88 €
9,Hernie fiscale,Comédie Saint-Martin,Du 12 octobre 2023 au 31 mars 2024,33 boulevard Saint-Martin,Paris 3e,18-76 €
10,Dîner de famille,Café de la Gare,Du 22 juin 2019 au 2 février 2025,41 rue du Temple,Paris 4e,18-29 €
11,Notre vie dans l'Art,Théâtre du Soleil - Cartoucherie,Du 6 décembre 2023 au 3 mars 2024,Route du Champ de Manœuvre,Paris 12e,16-39 €
12,Berlin Berlin,Théâtre Fontaine,Du 7 septembre 2023 au 28 avril 2024,10 rue Pierre-Fontaine,Paris 9e,24-53 €
13,Le Malade imaginaire,Théâtre des Champs-Élysées,Du 21 décembre 2023 au 7 janvier 2024,15 avenue Montaigne,Paris 8e,16 €
14,Un chapeau de paille d'Italie,Théâtre de la Porte Saint-Martin,Du 27 septembre 2023 au 31 décembre 2023,18 boulevard Saint-Martin,Paris 10e,15-35 €
