nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen,date datetime,heure
Orchestre Classik Ensemble et David Braccini,Sainte-Chapelle - Palais de la Cité,Mercredi 27 Décembre  18h00,"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown,2023-12-27 18:00:00,18h00
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,Mercredi 27 Décembre  19h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2023-12-27 19:00:00,19h00
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre, Vendredi 29 Décembre  17h30,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2023-12-29 17:30:00,17h30
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre, Samedi 30 Décembre  16h30,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2023-12-30 16:30:00,16h30
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre, Dimanche 31 Décembre  16h30,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2023-12-31 16:30:00,16h30
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre, Lundi 1er Janvier  20h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0,2024-01-01 20:00:00,20h00
L'Art d'être bête,Théâtre de Poche-Montparnasse,Mercredi 27 Décembre  19h00,"75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0,2023-12-27 19:00:00,19h00
L'Art d'être bête,Théâtre de Poche-Montparnasse, Jeudi 28 Décembre  19h00,"75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0,2023-12-28 19:00:00,19h00
L'Art d'être bête,Théâtre de Poche-Montparnasse, Dimanche 31 Décembre  15h00,"75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0,2023-12-31 15:00:00,15h00
L'Art d'être bête,Théâtre de Poche-Montparnasse, Mardi 2 Janvier  19h00,"75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0,2024-01-02 19:00:00,19h00
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Mercredi 27 Décembre  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2023-12-27 20:00:00,20h00
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine, Dimanche 31 Décembre  20h00,"Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5,2023-12-31 20:00:00,20h00
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Mercredi 27 Décembre  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2023-12-27 20:45:00,20h45
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés, Samedi 30 Décembre  20h45,"Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0,2023-12-30 20:45:00,20h45
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Sainte-Chapelle - Palais de la Cité,Jeudi 28 Décembre  18h00,"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown,2023-12-28 18:00:00,18h00
Adrien Polycarpe,Église Saint-Éphrem,Jeudi 28 Décembre  19h30,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2023-12-28 19:30:00,19h30
Adrien Polycarpe,Église Saint-Éphrem, Samedi 30 Décembre  18h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2023-12-30 18:00:00,18h00
Adrien Polycarpe,Église Saint-Éphrem, Lundi 1er Janvier  16h00,"17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5,2024-01-01 16:00:00,16h00
Thibault Maurin,Église Saint-Julien-le-Pauvre,Jeudi 28 Décembre  20h00,"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0,2023-12-28 20:00:00,20h00
Orchestre Classik Ensemble et David Braccini,Église Saint-Germain-des-Prés,Jeudi 28 Décembre  20h30,"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown,2023-12-28 20:30:00,20h30
Ensemble Musicâme France,Oratoire du Louvre,Jeudi 28 Décembre  20h30,"145 rue Saint Honoré, Paris, France",Paris 1er,unknown,"(2.340199, 48.861848)",,,unknown,unknown,2023-12-28 20:30:00,20h30
