arrondissement,prix
Paris 1er Arrondissement,13570
Paris 2e Arrondissement,12450
Paris 3e Arrondissement,12500
Paris 4e Arrondissement,13380
Paris 5e Arrondissement,13230
Paris 6e Arrondissement,15400
Paris 7e Arrondissement,15000
Paris 8e Arrondissement,13030
Paris 9e Arrondissement,11550
Paris 10e Arrondissement,10410
Paris 11e Arrondissement,10740
Paris 12e Arrondissement,9980
Paris 13e Arrondissement,9520
Paris 14e Arrondissement,10560
Paris 15e Arrondissement,10530
Paris 16e Arrondissement,11860
Paris 17e Arrondissement,11110
Paris 18e Arrondissement,10000
Paris 19e Arrondissement,8920
Paris 20e Arrondissement,9400
