,nom,etablissement,Date,adresse,commune,prix
0,Yanis Boudris,Église Saint-Éphrem,Mardi 26 Décembre : 17h30,17 rue des Carmes,Paris 5e,unknown
1,Orchestre Classik Ensemble et Chœur Paris-Cité,Sainte-Chapelle - Palais de la Cité,Mardi 26 Décembre : 18h00,17 rue des Carmes,Paris 5e,unknown
2,Georges Bériachvili,Théâtre de l'Île Saint-Louis,Mar 26 Décembre : 18h30,17 rue des Carmes,Paris 5e,unknown
3,Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,Mardi 26 Décembre : 19h00,17 rue des Carmes,Paris 5e,21-43 €
4,L'Art d'être bête,Théâtre de Poche-Montparnasse,Mardi 26 Décembre : 19h00,17 rue des Carmes,Paris 5e,24 €
5,Adrien Polycarpe,Église Saint-Éphrem,Mardi 26 Décembre : 19h30,17 rue des Carmes,Paris 5e,16-25 €
6,Orchestre Classik Ensemble et David Braccini,Église Saint-Germain-des-Prés,Mardi 26 Décembre : 20h30,17 rue des Carmes,Paris 5e,unknown
7,Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Mardi 26 Décembre : 20h45,17 rue des Carmes,Paris 5e,22-44 €
8,Orchestre Classik Ensemble et David Braccini,Sainte-Chapelle - Palais de la Cité,Mercredi 27 Décembre : 18h00,17 rue des Carmes,Paris 5e,unknown
9,Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,"Mercredi 27 Décembre : 19h00, Vendredi 29 Décembre : 17h30, Samedi 30 Décembre : 16h30, Dimanche 31 Décembre : 16h30, Lundi 1er Janvier : 20h00",17 rue des Carmes,Paris 5e,21-43 €
10,L'Art d'être bête,Théâtre de Poche-Montparnasse,"Mercredi 27 Décembre : 19h00, Jeudi 28 Décembre : 19h00, Dimanche 31 Décembre : 15h00, Mardi 2 Janvier : 19h00",17 rue des Carmes,Paris 5e,24 €
11,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,"Mercredi 27 Décembre : 20h00, Dimanche 31 Décembre : 20h00",17 rue des Carmes,Paris 5e,22-33 €
12,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,"Mercredi 27 Décembre : 20h45, Samedi 30 Décembre : 20h45",17 rue des Carmes,Paris 5e,22-44 €
13,"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Sainte-Chapelle - Palais de la Cité,Jeudi 28 Décembre : 18h00,17 rue des Carmes,Paris 5e,unknown
14,Adrien Polycarpe,Église Saint-Éphrem,"Jeudi 28 Décembre : 19h30, Samedi 30 Décembre : 18h00, Lundi 1er Janvier : 16h00",17 rue des Carmes,Paris 5e,16-25 €
15,Thibault Maurin,Église Saint-Julien-le-Pauvre,Jeudi 28 Décembre : 20h00,66 avenue Ledru-Rollin,Paris 12e,22 €
16,Orchestre Classik Ensemble et David Braccini,Église Saint-Germain-des-Prés,Jeudi 28 Décembre : 20h30,66 avenue Ledru-Rollin,Paris 12e,unknown
17,Ensemble Musicâme France,Oratoire du Louvre,Jeudi 28 Décembre : 20h30,66 avenue Ledru-Rollin,Paris 12e,unknown
18,"Orchestre Amplitude, Chœur Tempestuoso et solistes",Église Saint-Sulpice,Jeudi 28 Décembre : 20h30,66 avenue Ledru-Rollin,Paris 12e,unknown
19,Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Jeudi 28 Décembre : 20h45,66 avenue Ledru-Rollin,Paris 12e,22-44 €
20,Orchestre Les Violons de France,Église Saint-Éphrem,Vendredi 29 Décembre : 17h00,66 avenue Ledru-Rollin,Paris 12e,unknown
21,Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité,Vendredi 29 Décembre : 18h00,66 avenue Ledru-Rollin,Paris 12e,unknown
22,Georges Bériachvili,Théâtre de l'Île Saint-Louis,Ven 29 Décembre : 18h30,66 avenue Ledru-Rollin,Paris 12e,unknown
23,Pascal Mantin,Église Saint-Éphrem,"Vendredi 29 Décembre : 19h00, Dimanche 31 Décembre : 18h00",66 avenue Ledru-Rollin,Paris 12e,16-25 €
24,Philippe Alègre,Église Saint-Julien-le-Pauvre,"Vendredi 29 Décembre : 20h00, Lundi 1er Janvier : 16h00",66 avenue Ledru-Rollin,Paris 12e,22 €
25,Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Vendredi 29 Décembre : 20h45,66 avenue Ledru-Rollin,Paris 12e,22-44 €
26,Orchestre Paul Kuentz,Église Saint-Germain-des-Prés,Vendredi 29 Décembre : 20h45,66 avenue Ledru-Rollin,Paris 12e,unknown
27,Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île,"Sam 30 Décembre : 15h00, Dim 31 Décembre : 16h00",66 avenue Ledru-Rollin,Paris 12e,unknown
28,Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem,"Samedi 30 Décembre : 16h00, Lundi 1er Janvier : 18h30",66 avenue Ledru-Rollin,Paris 12e,16-25 €
29,"Isabelle Fremau, Michel Barré, Marie-Ange Leurent et Éric Lebrun",Église Saint-Antoine-des-Quinze-Vingts,Samedi 30 Décembre : 16h00,66 avenue Ledru-Rollin,Paris 12e,unknown
30,Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité,"Samedi 30 Décembre : 18h00, Dimanche 31 Décembre : 18h00",2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
31,Robert Millardet,Théâtre de l'Île Saint-Louis,"Sam 30 Décembre : 18h30, Dim 31 Décembre : 15h00",2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
32,Clément Rataud,Église Saint-Julien-le-Pauvre,Samedi 30 Décembre : 19h00,2 rue des Prêtres-Saint-Séverin,Paris 5e,22 €
33,Concert du Nouvel An,Maison de la Radio et de la Musique,"Samedi 30 Décembre : 20h00, Dimanche 31 Décembre : 20h00",2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
34,Alegria Orchestra et solistes,Église Saint-Paul-Saint-Louis,Samedi 30 Décembre : 20h30,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
35,Chœur et Orchestre Paul Kuentz,Église de la Madeleine,Samedi 30 Décembre : 20h30,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
36,"Isabelle Fremau, Michel Barré, Marie-Ange Leurent et Éric Lebrun",Église Notre-Dame-de-Lorette,Dimanche 31 Décembre : 16h00,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
37,Remi Masunaga,Église Saint-Éphrem,"Dimanche 31 Décembre : 16h00, Mardi 2 Janvier : 18h00",2 rue des Prêtres-Saint-Séverin,Paris 5e,16-25 €
38,Thomas Ospital,Église Saint-Eustache,Dimanche 31 Décembre : 17h00,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
39,"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Tour Eiffel,"Dimanche 31 Décembre : 18h00, Lundi 1er Janvier : 18h00",2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
40,Lise Lienhard,Chapelle Saint-Jean,Dimanche 31 Décembre : 18h00,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
41,"Orchestre Les Solistes français, Paul Rouger et Sabine Revault d'Allonnes",Sainte-Chapelle - Palais de la Cité,Dimanche 31 Décembre : 19h30,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
42,Lucas Lipari et François Olivier,Église Saint-Eustache,Dimanche 31 Décembre : 20h00,2 rue des Prêtres-Saint-Séverin,Paris 5e,22-33 €
43,"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Église Saint-Germain-des-Prés,Dimanche 31 Décembre : 20h30,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
44,Ensemble Kaléid,Église Saint-Séverin,Dimanche 31 Décembre : 20h30,2 rue des Prêtres-Saint-Séverin,Paris 5e,unknown
45,"Euromusic Symphonic Orchestra, Chœur Hugues Reiner et solistes",Église Saint-Sulpice,Dimanche 31 Décembre : 20h30,1 rue Saint-Julien-le-Pauvre,Paris 5e,unknown
46,Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île,"Dim 31 Décembre : 20h30, Lun 1er Janvier : 16h00",1 rue Saint-Julien-le-Pauvre,Paris 5e,unknown
47,Orchestre Classik Ensemble et David Braccini,Tour Eiffel,Lundi 1er Janvier : 16h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,unknown
48,Orchestre Les Violons de France,Église Saint-Eustache,Lundi 1er Janvier : 16h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,22-33 €
49,Quintette Les Virtuoses,Église Saint-Philippe-du-Roule,Lundi 1er Janvier : 16h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,unknown
50,Diane Andersen et invités,L'Accord Parfait,Lundi 1er Janvier : 17h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,unknown
51,Concert du Nouvel An,Église de la Madeleine,Lundi 1er Janvier : 19h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,22-44 €
52,Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Lundi 1er Janvier : 20h30,1 rue Saint-Julien-le-Pauvre,Paris 5e,unknown
53,Orchestre Hélios et Glen Rouxel,Église de la Madeleine,Lundi 1er Janvier : 21h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,22-44 €
54,Orchestre Les Violons de France,Église de la Madeleine,Mardi 2 Janvier : 20h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,22-33 €
55,Georges Bériachvili,Théâtre de l'Île Saint-Louis,"Mer 3 Janvier : 18h30, Dim 7 Janvier : 15h00",1 rue Saint-Julien-le-Pauvre,Paris 5e,unknown
56,Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,"Mercredi 3 Janvier : 19h00, Vendredi 5 Janvier : 19h00, Samedi 6 Janvier : 19h00",1 rue Saint-Julien-le-Pauvre,Paris 5e,21-43 €
57,Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem,Mercredi 3 Janvier : 19h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,16-25 €
58,L'Art d'être bête,Théâtre de Poche-Montparnasse,"Mercredi 3 Janvier : 19h00, Jeudi 4 Janvier : 19h00, Dimanche 7 Janvier : 15h00",1 rue Saint-Julien-le-Pauvre,Paris 5e,24 €
59,Philippe Alègre,Église Saint-Julien-le-Pauvre,Jeudi 4 Janvier : 19h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,22 €
60,Pascal Mantin,Église Saint-Éphrem,Jeudi 4 Janvier : 19h30,23 avenue George V,Paris 8e,16-25 €
61,« The Fairy Queen » de Purcell,Salle des concerts - Cité de la Musique-Philharmonie,"Jeudi 4 Janvier : 20h00, Samedi 6 Janvier : 20h00",23 avenue George V,Paris 8e,unknown
62,Beethoven : Symphonie n°9,Maison de la Radio et de la Musique,"Jeudi 4 Janvier : 20h00, Vendredi 5 Janvier : 20h00",23 avenue George V,Paris 8e,unknown
63,Orchestre Les Violons de France,Église de la Madeleine,Jeudi 4 Janvier : 20h00,23 avenue George V,Paris 8e,22-33 €
64,Antonin Bonnet et Krzysztof Michalski,Église Saint-Éphrem,Vendredi 5 Janvier : 18h30,23 avenue George V,Paris 8e,16-25 €
65,Robert Millardet,Théâtre de l'Île Saint-Louis,"Ven 5 Janvier : 18h30, Sam 6 Janvier : 18h30",23 avenue George V,Paris 8e,unknown
66,Krzysztof Michalski,Église Saint-Éphrem,Samedi 6 Janvier : 16h00,23 avenue George V,Paris 8e,16-25 €
67,Westbourne Grammar School,Église de la Madeleine,Samedi 6 Janvier : 16h00,23 avenue George V,Paris 8e,unknown
68,Les Alizés,Couvent des Dominicains,Samedi 6 Janvier : 16h00,23 avenue George V,Paris 8e,unknown
69,Remi Masunaga,Église Saint-Éphrem,Samedi 6 Janvier : 18h00,23 avenue George V,Paris 8e,16-25 €
70,Soline Marzac et Cristian Monti,L'Accord Parfait,Samedi 6 Janvier : 20h00,23 avenue George V,Paris 8e,unknown
71,Orchestre Les Solistes français et Paul Rouger,Église Saint-Germain-des-Prés,Samedi 6 Janvier : 20h30,23 avenue George V,Paris 8e,unknown
72,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 6 Janvier : 20h30,23 avenue George V,Paris 8e,22-33 €
73,Trio Wanderer,Théâtre des Champs-Élysées,Dimanche 7 Janvier : 11h00,23 avenue George V,Paris 8e,16-28 €
74,Duo Métis,Cathédrale américaine,Dimanche 7 Janvier : 15h00,23 avenue George V,Paris 8e,unknown
75,Roses dans la nuit,Salle des concerts - Cité de la Musique-Philharmonie,Dimanche 7 Janvier : 16h00,4 boulevard de la Reine,Versailles,unknown
76,Orchestre Paris Classik et Bertrand Cervera,Église Saint-Louis-en-l'Île,Dim 7 Janvier : 16h00,4 boulevard de la Reine,Versailles,unknown
77,Robin Stephenson et Jean-Marc Kérisit,Maison de l'Asie du Sud-Est,Dimanche 7 Janvier : 16h00,4 boulevard de la Reine,Versailles,unknown
78,Olivier Périn,Église de la Madeleine,Dimanche 7 Janvier : 16h00,4 boulevard de la Reine,Versailles,unknown
79,"Jocelyne Lucas, Daniel Dato et Céline Mata",Église Sainte-Marie-des-Batignolles,Dimanche 7 Janvier : 16h00,4 boulevard de la Reine,Versailles,unknown
80,Adrien Polycarpe,Église Saint-Éphrem,Dimanche 7 Janvier : 16h30,4 boulevard de la Reine,Versailles,16-25 €
81,Dominique Hofer,Église Notre-Dame-de-Compassion,Dimanche 7 Janvier : 16h30,4 boulevard de la Reine,Versailles,unknown
82,Thomas Ospital,Église Saint-Eustache,Dimanche 7 Janvier : 17h00,4 boulevard de la Reine,Versailles,unknown
83,La Caravelle des Arts,Temple protestant du Raincy,Dimanche 7 Janvier : 17h00,4 boulevard de la Reine,Versailles,unknown
84,Nathalie Gaubery et Lorenzo Cipriani,Chapelle de l'Agneau de Dieu,Dimanche 7 Janvier : 17h00,4 boulevard de la Reine,Versailles,unknown
85,Sextuor de clarinettes de la Garde républicaine et Guillaume Paire,Église du Val-de-Grâce,Dimanche 7 Janvier : 17h30,4 boulevard de la Reine,Versailles,unknown
86,Chœur de la Cathédrale américaine et Andrew Dewar,Cathédrale américaine,Dimanche 7 Janvier : 18h00,4 boulevard de la Reine,Versailles,unknown
87,Natasha Kadyrova,Église Saint-Éphrem,Lundi 8 Janvier : 19h30,4 boulevard de la Reine,Versailles,16-25 €
88,"Les Frivolités Parisiennes, Golda Schultz, Amitai Pati et Pene Pati",Théâtre des Champs-Élysées,Lundi 8 Janvier : 20h00,4 boulevard de la Reine,Versailles,33-115 €
89,« Atalia » de Gasparini,Château de Versailles,Lundi 8 Janvier : 20h00,4 boulevard de la Reine,Versailles,71-115 €
90,Quatuor Dutilleux,Musée d'Orsay,Mardi 9 Janvier : 12h30,17 rue des Carmes,Paris 5e,unknown
91,Carl Norgate,Théâtre de l'Île Saint-Louis,Mar 9 Janvier : 18h30,17 rue des Carmes,Paris 5e,unknown
92,« Iphigénie en Tauride » de Desmarest et Campra,Théâtre des Champs-Élysées,Mardi 9 Janvier : 19h30,17 rue des Carmes,Paris 5e,28-89 €
93,Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,Mardi 9 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
94,Hommage à Carlos Roque Alsina,Salle Cortot,Mardi 9 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
95,Jorge Garcia Herranz et Isabelle Dabek,Espace Georges-Bernanos,Mercredi 10 Janvier : 12h30,17 rue des Carmes,Paris 5e,unknown
96,Elio di Tanna,Église Saint-Éphrem,Mercredi 10 Janvier : 18h00,17 rue des Carmes,Paris 5e,16-25 €
97,« Les Sept péchés capitaux » de Weill,Théâtre des Champs-Élysées,Mercredi 10 Janvier : 19h30,17 rue des Carmes,Paris 5e,28-79 €
98,Les Surprises,Maison de la Radio et de la Musique,Mercredi 10 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
99,Transfiguré - 12 vies de Schönberg,Grande salle Pierre Boulez - Philharmonie de Paris,"Mercredi 10 Janvier : 20h00, Jeudi 11 Janvier : 20h00",17 rue des Carmes,Paris 5e,unknown
100,Il Concerto delle donne,Cathédrale Sainte-Croix-des-Arméniens,Mercredi 10 Janvier : 20h00,17 rue des Carmes,Paris 5e,unknown
101,Trio Lunae,Institut National des Jeunes Aveugles,Jeudi 11 Janvier : 13h00,17 rue des Carmes,Paris 5e,unknown
102,Carl Norgate,Théâtre de l'Île Saint-Louis,Jeu 11 Janvier : 18h30,17 rue des Carmes,Paris 5e,unknown
103,Michaël Levinas,Église luthérienne Saint-Marcel,Jeudi 11 Janvier : 19h00,17 rue des Carmes,Paris 5e,unknown
104,Adrien Polycarpe,Église Saint-Éphrem,"Jeudi 11 Janvier : 19h30, Mardi 16 Janvier : 20h00",17 rue des Carmes,Paris 5e,16-25 €
105,Orchestre de chambre de Paris et Roger Muraro,Théâtre des Champs-Élysées,Jeudi 11 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
106,Orchestre Colonne et Roberto Alagna,Salle Gaveau,Jeudi 11 Janvier : 20h30,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
107,Fauré : Requiem,Auditorium Michel Laclotte - Musée du Louvre,Vendredi 12 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
108,Mozart : Symphonie concertante,Maison de la Radio et de la Musique,Vendredi 12 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
109,Poulenc : Concerto pour deux pianos,Opéra de Massy,Vendredi 12 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
110,Antonin Bonnet,Église Saint-Éphrem,Vendredi 12 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,16-25 €
111,Orchestre de la Bastille,Église évangélique de Paris-Luxembourg,"Vendredi 12 Janvier : 20h30, Samedi 13 Janvier : 20h30",60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
112,Clémence Guerrand,Salle Cortot,Vendredi 12 Janvier : 20h30,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
113,"Mathieu Salama, airs pour Farinelli",Église Sainte-Élisabeth-de-Hongrie,Samedi 13 Janvier : 16h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,20-28 €
114,Axel Lebas,Église Saint-Thomas-d'Aquin,Samedi 13 Janvier : 16h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
115,Natasha Kadyrova,Église Saint-Éphrem,Samedi 13 Janvier : 16h30,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,16-25 €
116,Bruno Helstroffer,La Scala Paris,Samedi 13 Janvier : 19h30,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
117,Chicago Symphony Orchestra,Grande salle Pierre Boulez - Philharmonie de Paris,Samedi 13 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
118,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,Samedi 13 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,22-33 €
119,Au pays qui te ressemble,Archives nationales,Samedi 13 Janvier : 20h00,60 rue des Francs-Bourgeois Hôtel de Soubise,Paris 3e,unknown
120,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,Samedi 13 Janvier : 20h45,7 rue Francis de Pressensé,Paris 14e,22-44 €
121,Roger Muraro,Théâtre des Champs-Élysées,Dimanche 14 Janvier : 11h00,7 rue Francis de Pressensé,Paris 14e,16-28 €
122,Georges Bériachvili,Théâtre de l'Île Saint-Louis,Dim 14 Janvier : 15h00,7 rue Francis de Pressensé,Paris 14e,unknown
123,Fauré : Requiem,Église Saint-Roch,Dimanche 14 Janvier : 15h00,7 rue Francis de Pressensé,Paris 14e,unknown
