nom,etablissement,Date,adresse,commune,prix,coordonnees,prix min,prix max,prix unique,prix moyen
Orchestre Classik Ensemble et David Braccini,Sainte-Chapelle - Palais de la Cité,['Mercredi 27 Décembre : 18h00'],"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown
Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,"['Mercredi 27 Décembre : 19h00', ' Vendredi 29 Décembre : 17h30', ' Samedi 30 Décembre : 16h30', ' Dimanche 31 Décembre : 16h30', ' Lundi 1er Janvier : 20h00']","1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,21-43 €,"(2.346864, 48.85214)",21.0,43.0,,32.0
L'Art d'être bête,Théâtre de Poche-Montparnasse,"['Mercredi 27 Décembre : 19h00', ' Jeudi 28 Décembre : 19h00', ' Dimanche 31 Décembre : 15h00', ' Mardi 2 Janvier : 19h00']","75 boulevard du Montparnasse, Paris, France",Paris 6e,24 €,"(2.324991, 48.843728)",,,24.0,24.0
Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,"['Mercredi 27 Décembre : 20h00', ' Dimanche 31 Décembre : 20h00']","Place de la Madeleine, Paris, France",Paris 8e,22-33 €,"(2.324455, 48.870062)",22.0,33.0,,27.5
Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,"['Mercredi 27 Décembre : 20h45', ' Samedi 30 Décembre : 20h45']","Place Saint-Germain des Prés, Paris, France",Paris 6e,22-44 €,"(2.333399, 48.854182)",22.0,44.0,,33.0
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Sainte-Chapelle - Palais de la Cité,['Jeudi 28 Décembre : 18h00'],"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown
Adrien Polycarpe,Église Saint-Éphrem,"['Jeudi 28 Décembre : 19h30', ' Samedi 30 Décembre : 18h00', ' Lundi 1er Janvier : 16h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Thibault Maurin,Église Saint-Julien-le-Pauvre,['Jeudi 28 Décembre : 20h00'],"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0
Orchestre Classik Ensemble et David Braccini,Église Saint-Germain-des-Prés,['Jeudi 28 Décembre : 20h30'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Ensemble Musicâme France,Oratoire du Louvre,['Jeudi 28 Décembre : 20h30'],"145 rue Saint Honoré, Paris, France",Paris 1er,unknown,"(2.340199, 48.861848)",,,unknown,unknown
"Orchestre Amplitude, Chœur Tempestuoso et solistes",Église Saint-Sulpice,['Jeudi 28 Décembre : 20h30'],"Place Saint-Sulpice, Paris, France",Paris 6e,unknown,"(2.33352, 48.851186)",,,unknown,unknown
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,['Jeudi 28 Décembre : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Orchestre Les Violons de France,Église Saint-Éphrem,['Vendredi 29 Décembre : 17h00'],"17 rue des Carmes, Paris, France",Paris 5e,unknown,"(2.347335, 48.848424)",,,unknown,unknown
Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité,['Vendredi 29 Décembre : 18h00'],"8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown
Georges Bériachvili,Théâtre de l'Île Saint-Louis,['Ven 29 Décembre : 18h30'],"39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown
Pascal Mantin,Église Saint-Éphrem,"['Vendredi 29 Décembre : 19h00', ' Dimanche 31 Décembre : 18h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Philippe Alègre,Église Saint-Julien-le-Pauvre,"['Vendredi 29 Décembre : 20h00', ' Lundi 1er Janvier : 16h00']","1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0
Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,['Vendredi 29 Décembre : 20h45'],"Place de la Madeleine, Paris, France",Paris 8e,22-44 €,"(2.324455, 48.870062)",22.0,44.0,,33.0
Orchestre Paul Kuentz,Église Saint-Germain-des-Prés,['Vendredi 29 Décembre : 20h45'],"Place Saint-Germain des Prés, Paris, France",Paris 6e,unknown,"(2.333399, 48.854182)",,,unknown,unknown
Les voix orthodoxes de Varsovie,Église Saint-Louis-en-l'Île,"['Sam 30 Décembre : 15h00', ' Dim 31 Décembre : 16h00']","19 bis rue Saint-Louis-en-l'Île, Paris, France",Paris 4e,unknown,"(2.357978, 48.85127)",,,unknown,unknown
Frédéric Moreau et Pascal Mantin,Église Saint-Éphrem,"['Samedi 30 Décembre : 16h00', ' Lundi 1er Janvier : 18h30']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
"Isabelle Fremau, Michel Barré, Marie-Ange Leurent et Éric Lebrun",Église Saint-Antoine-des-Quinze-Vingts,['Samedi 30 Décembre : 16h00'],"66 avenue Ledru-Rollin, Paris, France",Paris 12e,unknown,"(2.373429, 48.848937)",,,unknown,unknown
Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité,"['Samedi 30 Décembre : 18h00', ' Dimanche 31 Décembre : 18h00']","8 boulevard du Palais, Paris, France",Paris 1er,unknown,"(2.345141, 48.854843)",,,unknown,unknown
Robert Millardet,Théâtre de l'Île Saint-Louis,"['Sam 30 Décembre : 18h30', ' Dim 31 Décembre : 15h00']","39 quai d'Anjou, Paris, France",Paris 4e,unknown,"(2.357319, 48.852299)",,,unknown,unknown
Clément Rataud,Église Saint-Julien-le-Pauvre,['Samedi 30 Décembre : 19h00'],"1 rue Saint-Julien-le-Pauvre, Paris, France",Paris 5e,22 €,"(2.346864, 48.85214)",,,22.0,22.0
Concert du Nouvel An,Maison de la Radio et de la Musique,"['Samedi 30 Décembre : 20h00', ' Dimanche 31 Décembre : 20h00']","116 avenue du Président Kennedy, Paris, France",Paris 16e,unknown,"(2.279529, 48.852149)",,,unknown,unknown
Alegria Orchestra et solistes,Église Saint-Paul-Saint-Louis,['Samedi 30 Décembre : 20h30'],"99 rue Saint-Antoine, Paris, France",Paris 4e,unknown,"(2.361743, 48.854759)",,,unknown,unknown
Chœur et Orchestre Paul Kuentz,Église de la Madeleine,['Samedi 30 Décembre : 20h30'],"Place de la Madeleine, Paris, France",Paris 8e,unknown,"(2.324455, 48.870062)",,,unknown,unknown
"Isabelle Fremau, Michel Barré, Marie-Ange Leurent et Éric Lebrun",Église Notre-Dame-de-Lorette,['Dimanche 31 Décembre : 16h00'],"18 rue de Châteaudun, Paris, France",Paris 9e,unknown,"(2.339265, 48.876032)",,,unknown,unknown
Remi Masunaga,Église Saint-Éphrem,"['Dimanche 31 Décembre : 16h00', ' Mardi 2 Janvier : 18h00']","17 rue des Carmes, Paris, France",Paris 5e,16-25 €,"(2.347335, 48.848424)",16.0,25.0,,20.5
Thomas Ospital,Église Saint-Eustache,['Dimanche 31 Décembre : 17h00'],"Rue du Jour Forum des Halles, Paris, France",Paris 1er,unknown,"(2.344672, 48.863765)",,,unknown,unknown
"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Tour Eiffel,"['Dimanche 31 Décembre : 18h00', ' Lundi 1er Janvier : 18h00']","Champ-de-Mars, Paris, France",Paris 7e,unknown,"(2.305072, 48.856288)",,,unknown,unknown
