,nom,etablissement,Date,adresse,commune,prix
0,Yanis Boudris,Église Saint-Éphrem,Mardi 26 Décembre : 17h30,17 rue des Carmes,Paris 5e,unknown
1,Orchestre Classik Ensemble et Chœur Paris-Cité,Sainte-Chapelle - Palais de la Cité,Mardi 26 Décembre : 18h00,17 rue des Carmes,Paris 5e,unknown
2,Georges Bériachvili,Théâtre de l'Île Saint-Louis,Mar 26 Décembre : 18h30,17 rue des Carmes,Paris 5e,unknown
3,Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,Mardi 26 Décembre : 19h00,17 rue des Carmes,Paris 5e,21-43 €
4,L'Art d'être bête,Théâtre de Poche-Montparnasse,Mardi 26 Décembre : 19h00,17 rue des Carmes,Paris 5e,24 €
5,Adrien Polycarpe,Église Saint-Éphrem,Mardi 26 Décembre : 19h30,17 rue des Carmes,Paris 5e,16-25 €
6,Orchestre Classik Ensemble et David Braccini,Église Saint-Germain-des-Prés,Mardi 26 Décembre : 20h30,17 rue des Carmes,Paris 5e,unknown
7,Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Mardi 26 Décembre : 20h45,17 rue des Carmes,Paris 5e,22-44 €
8,Orchestre Classik Ensemble et David Braccini,Sainte-Chapelle - Palais de la Cité,Mercredi 27 Décembre : 18h00,17 rue des Carmes,Paris 5e,unknown
9,Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,"Mercredi 27 Décembre : 19h00, Vendredi 29 Décembre : 17h30, Samedi 30 Décembre : 16h30, Dimanche 31 Décembre : 16h30, Lundi 1er Janvier : 20h00",17 rue des Carmes,Paris 5e,21-43 €
10,L'Art d'être bête,Théâtre de Poche-Montparnasse,"Mercredi 27 Décembre : 19h00, Jeudi 28 Décembre : 19h00, Dimanche 31 Décembre : 15h00, Mardi 2 Janvier : 19h00",17 rue des Carmes,Paris 5e,24 €
11,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,"Mercredi 27 Décembre : 20h00, Dimanche 31 Décembre : 20h00",17 rue des Carmes,Paris 5e,22-33 €
12,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,"Mercredi 27 Décembre : 20h45, Samedi 30 Décembre : 20h45",17 rue des Carmes,Paris 5e,22-44 €
13,"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Sainte-Chapelle - Palais de la Cité,Jeudi 28 Décembre : 18h00,17 rue des Carmes,Paris 5e,unknown
14,Adrien Polycarpe,Église Saint-Éphrem,"Jeudi 28 Décembre : 19h30, Samedi 30 Décembre : 18h00, Lundi 1er Janvier : 16h00",17 rue des Carmes,Paris 5e,16-25 €
