,Adresse,Arr.,Date D'Ouverture,Nombre De Sièges,Notes,Adresse_complete,Coordonnees
Théâtre Adyar,"4, square Rapp",7e,1912,381,,"4, square Rapp, Paris, France","(2.301085, 48.858644)"
Aktéon,"11, rue du Général-Blaise",11e,1986,60,,"11, rue du Général-Blaise, Paris, France","(2.37818, 48.861757)"
Antre Magique,"50, rue Saint-Georges",9e,,49,,"50, rue Saint-Georges, Paris, France","(2.337374, 48.877414)"
Artistic Athévains,"45 bis, rue Richard-Lenoir",11e,Début XXe siècle,220,"Ancien nom : L'Artistic, Folies Artistic, Artistic Concert et Artistic Voltaire","45 bis, rue Richard-Lenoir, Paris, France","(2.380986, 48.856669)"
A la Folie Théâtre,"6, rue de la Folie-Méricourt",11e,2008,94 et 49,Ancien nom : théâtre de l'Epouventail,"6, rue de la Folie-Méricourt, Paris, France","(2.374718, 48.861536)"
Théâtre de l'Alliance française,"101, boulevard Raspail",6e,1883,380,,"101, boulevard Raspail, Paris, France","(2.328547, 48.84634)"
Théâtre Antoine - Simone-Berriau,"14, boulevard de Strasbourg",10e,1866,780,"Anciens noms : théâtre des Menus-Plaisirs, théâtre des Arts, Opéra-Bouffe et Comédie-Parisienne","14, boulevard de Strasbourg, Paris, France","(2.355207, 48.870599)"
Théâtre de l'Aquarium,Route du Champ-de-Manœuvre,12e,1973,300 et 200,Le théâtre de l'Aquarium est installé à La Cartoucherie de Vincennes,"Route du Champ-de-Manœuvre, Paris, France","(2.450645, 48.835062)"
Théâtre de l'Atelier,"1, place Charles-Dullin",18e,1822,563,,"1, place Charles-Dullin, Paris, France","(2.342473, 48.88338)"
Auguste théâtre,"6, impasse Lamier",11e,Fin XXe siècle,90,Ancien nom : Espace la Comédia,"6, impasse Lamier, Paris, France","(2.388862, 48.857788)"
Ateliers Berthier,"32, boulevard Berthier",17e,1898,600,,"32, boulevard Berthier, Paris, France","(2.310204, 48.893244)"
Théâtre de l'Athénée Louis-Jouvet,"7, rue Boudreau",9e,1893,570,"Anciens noms : Éden-Théâtre (1880-1890), Grand-Théâtre (1890-1893) et Comédie-Parisienne (1893-1896)","7, rue Boudreau, Paris, France","(2.32899, 48.872184)"
Théâtre des Artisans,"14, rue de Thionville",19e,2009,48,,"14, rue de Thionville, Paris, France","(2.38192, 48.888485)"
Alambic Comédie,"12, rue Neuve-de-la-Chardonnière",18e,2008,80,,"12, rue Neuve-de-la-Chardonnière, Paris, France","(2.348225, 48.895181)"
Bataclan,"50, boulevard Voltaire",11e,1865,1 500,,"50, boulevard Voltaire, Paris, France","(2.370883, 48.86311)"
Théâtre de la Bastille,"76, rue de la Roquette",11e,,261 et 155,Auparavant appelé théâtre de la Roquette,"76, rue de la Roquette, Paris, France","(2.375555, 48.855861)"
Théâtre des Blancs-Manteaux,"15, rue des Blancs-Manteaux",4e,1972,60 et 80,2 salles anciennement Pizza du Marais,"15, rue des Blancs-Manteaux, Paris, France","(2.357432, 48.85874)"
Bobino,"14-20, rue de la Gaîté",14e,1816,900,,"14-20, rue de la Gaîté, Paris, France","(2.32357, 48.839811)"
Théâtre des Bouffes-du-Nord,"37 bis, boulevard de la Chapelle",10e,1876,503,Auparavant appelé théâtre Molière jusqu'en 1904,"37 bis, boulevard de la Chapelle, Paris, France","(2.358623, 48.884177)"
Théâtre des Bouffes-Parisiens,"4, rue Monsigny",2e,1827,600,,"4, rue Monsigny, Paris, France","(2.335318, 48.868382)"
Café de la Gare,"41, rue du Temple",4e,1968,300,,"41, rue du Temple, Paris, France","(2.353978, 48.859562)"
Le République,"1, boulevard Saint-Martin",3e,1901,450,,"1, boulevard Saint-Martin, Paris, France","(2.361942, 48.867853)"
Théâtre national de Chaillot,"1, place du Trocadéro",16e,1937,1 250  et 420,,"1, place du Trocadéro, Paris, France","(2.282002, 48.862412)"
Théâtre des Champs-Élysées,"15, avenue Montaigne",8e,1913,1 905,,"15, avenue Montaigne, Paris, France","(2.303279, 48.865672)"
Théâtre du Châtelet,"1, place du Châtelet",1er,1862,2 010,,"1, place du Châtelet, Paris, France","(2.346758, 48.857614)"
Théâtre du Chaudron,Route du Champ-de-Manœuvre,12e,1972,,Le théâtre du Chaudron est installé à La Cartoucherie de Vincennes,"Route du Champ-de-Manœuvre, Paris, France","(2.450645, 48.835062)"
Les Cinq Diamants,"10, rue des Cinq-Diamants",13e,1975,,,"10, rue des Cinq-Diamants, Paris, France","(2.351559, 48.829519)"
Comédie-Caumartin,"25, rue de Caumartin",9e,1901,390,"Le théâtre a été connu entre 1901 et 1923 sous le nom de Comédie-Royale. De plus, la salle a aussi été appelée Cinérire-Caumartin","25, rue de Caumartin, Paris, France","(2.328077, 48.871623)"
La Comédie des boulevards,"39, rue du Sentier",2e,,100,,"39, rue du Sentier, Paris, France","(2.346347, 48.870252)"
