,nom,etablissement,Date,adresse,commune,prix
0,Orchestre Classik Ensemble et David Braccini,Sainte-Chapelle - Palais de la Cité,Mercredi 27 Décembre : 18h00,8 boulevard du Palais,Paris 1er,unknown
1,Ensemble royal de Paris,Église Saint-Julien-le-Pauvre,"Mercredi 27 Décembre : 19h00, Vendredi 29 Décembre : 17h30, Samedi 30 Décembre : 16h30, Dimanche 31 Décembre : 16h30, Lundi 1er Janvier : 20h00",1 rue Saint-Julien-le-Pauvre,Paris 5e,21-43 €
2,L'Art d'être bête,Théâtre de Poche-Montparnasse,"Mercredi 27 Décembre : 19h00, Jeudi 28 Décembre : 19h00, Dimanche 31 Décembre : 15h00, Mardi 2 Janvier : 19h00",75 boulevard du Montparnasse,Paris 6e,24 €
3,Orchestre Les Violons de France et Cécile Besnard,Église de la Madeleine,"Mercredi 27 Décembre : 20h00, Dimanche 31 Décembre : 20h00",Place de la Madeleine,Paris 8e,22-33 €
4,Orchestre Hélios et Glen Rouxel,Église Saint-Germain-des-Prés,"Mercredi 27 Décembre : 20h45, Samedi 30 Décembre : 20h45",Place Saint-Germain des Prés,Paris 6e,22-44 €
5,"Orchestre Classik Ensemble, Fabienne Conrad et David Braccini",Sainte-Chapelle - Palais de la Cité,Jeudi 28 Décembre : 18h00,8 boulevard du Palais,Paris 1er,unknown
6,Adrien Polycarpe,Église Saint-Éphrem,"Jeudi 28 Décembre : 19h30, Samedi 30 Décembre : 18h00, Lundi 1er Janvier : 16h00",17 rue des Carmes,Paris 5e,16-25 €
7,Thibault Maurin,Église Saint-Julien-le-Pauvre,Jeudi 28 Décembre : 20h00,1 rue Saint-Julien-le-Pauvre,Paris 5e,22 €
8,Orchestre Classik Ensemble et David Braccini,Église Saint-Germain-des-Prés,Jeudi 28 Décembre : 20h30,Place Saint-Germain des Prés,Paris 6e,unknown
9,Ensemble Musicâme France,Oratoire du Louvre,Jeudi 28 Décembre : 20h30,145 rue Saint Honoré,Paris 1er,unknown
10,"Orchestre Amplitude, Chœur Tempestuoso et solistes",Église Saint-Sulpice,Jeudi 28 Décembre : 20h30,Place Saint-Sulpice,Paris 6e,unknown
11,Orchestre Hélios et Chœur Hélios éphémère,Église de la Madeleine,Jeudi 28 Décembre : 20h45,Place de la Madeleine,Paris 8e,22-44 €
12,Orchestre Les Violons de France,Église Saint-Éphrem,Vendredi 29 Décembre : 17h00,17 rue des Carmes,Paris 5e,unknown
13,Orchestre Les Solistes français et Paul Rouger,Sainte-Chapelle - Palais de la Cité,Vendredi 29 Décembre : 18h00,8 boulevard du Palais,Paris 1er,unknown
14,Georges Bériachvili,Théâtre de l'Île Saint-Louis,Ven 29 Décembre : 18h30,39 quai d'Anjou,Paris 4e,unknown
